shape	rate
t_n31	65.3777956033102	1.76341868389298
t_n32	56.2523894079728	2.07224371909728
t_n33	54.5453548287669	2.44576166273736
t_n34	52.8188250224132	2.53537523666011
t_n35	41.3971110293297	2.9465951142165
t_n36	44.7759996395726	2.66335968766603
t_n37	48.1656209976888	2.37719104781943
t_n38	61.1714896304207	1.73065307280503
t_n39	49.5679587199401	2.39978649970857
t_n40	39.2816015615559	2.61816761836971
t_n41	42.1681098573761	3.31337597931347
t_n42	34.5871099759069	4.09286670658894
t_n43	59.8713630455948	1.8496846827313
t_n44	59.7354669529675	1.91191922790034
t_n45	54.5183388984984	2.22743191310086
t_n46	52.0847351731357	2.41475545970395
t_n47	40.0114624755449	3.76175951561755
t_n48	36.1692757050913	3.94087486649863
t_n49	47.4431644345752	2.50924856816595
t_n50	39.8150417957868	2.37481794477394
t_n51	58.7761174361364	1.98660036707937
t_n52	57.8458253296901	2.01019030782335
t_n53	53.0609190668763	2.10822243802618
t_n54	39.707048570151	2.55599923068694
t_n55	49.3995801841179	2.7123620604888
t_n56	32.9128665507997	4.13220764498651
t_n57	44.5873498025976	3.04005327283162
t_n58	40.2805150156057	3.17480694544761
t_n59	49.8715815161326	2.02142050073243
mu	58.4138916974664	3753.45620630256
sigma2	5.60707791920349	276.000679878197
