Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2
1	37.1688089	29.9423375	27.0913978	19.8713438	14.6054930	15.9456491	18.7628075	36.4408426	20.0917939	14.7658580	15.2372600	7.3874772	35.6626531	32.5316065	26.8399677	22.4309333	11.0738826	10.2278863	17.6172933	17.1357203	28.5610308	26.2733756	24.8908163	15.3941058	15.4396467	9.1039093	14.8438701	14.1649512	21.4717225	0.0280953	0.0390502
5	44.1239882	29.7280019	21.7367401	16.9358807	14.6054930	14.2212893	18.4951130	36.1455745	17.2377727	16.4114022	14.1505887	7.3874772	30.4368396	27.8217007	24.9669664	19.8496250	7.7652740	7.0549924	17.6373393	14.9519883	26.7955383	25.8873578	24.8908163	12.3881980	18.4691226	10.2927202	14.5611678	12.1734588	21.9835447	0.0298133	0.0673574
10	42.8387448	24.9893935	21.4006113	18.5674803	14.5171282	18.0639112	20.8570104	36.5753813	17.9138574	15.6297708	17.4145285	7.7818774	31.0907138	29.8032384	29.0518295	21.6417198	12.5898210	8.9139170	17.6373393	18.0700604	26.3035827	24.2637811	22.0444927	14.0209638	19.3025162	6.9350141	14.8339926	14.5932407	21.2768203	0.0309807	0.0673574
15	43.8140456	29.8936000	24.5214942	18.5850682	14.5171282	18.0639112	20.5517539	40.2460185	22.4104150	10.3115962	12.4873497	6.8134958	36.2593619	28.8544074	27.7036965	18.3186827	13.7266795	8.9139170	17.6373393	18.6576488	27.7073762	24.6993642	22.7696115	13.7222296	20.9633946	8.7546797	15.2735320	12.0699184	21.2768203	0.0355532	0.0673574
20	33.8037824	24.7512817	23.4142289	21.2403343	14.1996477	19.0741371	23.1480316	31.6481911	18.1906641	14.3436130	15.4532817	7.1856375	30.7444039	29.3689028	23.3223064	19.5931649	11.8253756	6.1317260	15.6473478	15.3173317	28.6747554	23.2476743	21.8269206	14.0695042	15.4206115	8.7546797	14.0998481	12.5456129	21.5618899	0.0355532	0.0818113
25	33.6868899	24.4002891	22.9223902	19.5876616	18.7115179	19.0800892	19.8474106	32.6426516	20.0463627	12.5496764	12.5390343	9.1398105	31.8426617	30.6335933	26.6154266	23.4286046	10.8329092	10.1781430	18.9147183	19.7977857	28.8114698	27.6529690	22.0288336	14.0695042	19.1784166	8.7546797	11.3393240	10.2981192	22.1523205	0.0354015	0.0611139
30	42.7791809	24.6919573	19.8794410	18.0661739	14.7444126	12.3610284	19.8474106	41.8808070	21.2037262	12.9153770	11.9937441	8.9250941	38.0101642	32.4568250	23.0971286	21.5029231	14.7807009	10.5076312	18.9147183	16.4145681	30.3686983	28.9134629	25.1967561	14.0695042	16.1785649	9.3734331	13.1654557	10.6130279	22.6092598	0.0376163	0.0372801
35	41.9584013	25.0418383	21.3324727	19.6260144	16.9702754	15.2182897	17.7343610	35.2947339	21.6294021	12.9153770	13.6001409	8.1336979	35.0507212	34.7166427	27.8688029	20.3892374	11.2476080	8.7564891	18.9147183	15.9194238	28.8973393	25.7783562	25.0352264	13.3055105	17.1383314	6.8205529	16.5550480	7.2683270	19.3434703	0.0344188	0.0372801
40	40.1179349	25.0418383	21.2794924	20.8874265	10.8808922	18.6704259	18.8882387	38.6398604	21.1687601	12.9153770	11.5066025	8.1820961	38.4714052	36.4054032	26.0603813	21.4515373	10.6409847	8.7564891	16.8995414	17.1616772	29.5669731	27.5070876	27.1722335	14.2940087	20.4126185	10.2518262	18.3525212	11.5906407	18.2834825	0.0324990	0.0332893
45	40.1179349	28.5983856	25.6224961	22.4276469	10.2322713	16.2884828	16.7998873	35.4531825	18.4147128	17.5401424	11.1167248	8.0991811	31.5304956	28.1692717	22.9472754	20.3159700	9.7115780	8.7564891	15.9004876	17.5569366	27.8098861	25.9916272	22.9215684	20.1418394	20.4919724	6.8207935	14.4045965	13.8549405	26.8754600	0.0329868	0.0464051
