mean	s.d.	gamma1
t_n31	40.7297177899542	3.5826613297226	0.492299390825927
t_n32	28.3186350714434	3.08395442531807	0.465559224155619
t_n33	23.5954110216864	2.14141823664103	0.310909887200685
t_n34	20.2716349484907	2.01319498498497	0.146876623224738
t_n35	13.9385388996959	2.08340193796088	0.195686966945028
t_n36	16.1618072504657	2.10103814391824	0.0248299463308238
t_n37	19.3313607058785	2.34936947038273	-0.010731481189786
t_n38	36.6363606919937	2.70159257483798	0.33822100573044
t_n39	20.9556504689693	2.78286095030487	0.404738212622394
t_n40	14.7550997355744	2.22399969683461	0.198044323539228
t_n41	12.8125003824478	1.86857058647528	0.362205624379284
t_n42	8.36007246000347	1.36834165952423	0.252251255696844
t_n43	33.7035940963262	2.28242878890761	0.242621300688522
t_n44	31.4473962346987	2.05099634228278	0.209017483801947
t_n45	25.4295472576881	2.5269178465373	0.169751214772256
t_n46	21.4805675411009	2.19860232933556	0.163151199860878
t_n47	11.142153265109	1.52402233233885	0.419914839294925
t_n48	8.69505609838508	1.27581475263755	0.151564556804856
t_n49	17.8273804252619	2.18647012806178	0.0303104731253145
t_n50	16.6954143040207	2.58831666946089	0.243880240311693
t_n51	29.2726485118439	1.98358721327503	0.115896317649017
t_n52	26.8398640656741	2.09993296467357	0.0122133024988478
t_n53	23.3108385021942	2.44018559817599	-0.0514527045668579
t_n54	15.444016663047	2.3827155036562	0.240336436833834
t_n55	18.7668226067706	2.27899325447424	0.385139118338182
t_n56	7.96393474782389	1.38762108573819	0.364044069823727
t_n57	14.8630015867874	1.72406205458963	0.251211826069572
t_n58	11.9826453759995	1.6252493171085	0.0796285934229152
t_n59	23.8322158923503	2.88244476554998	-0.101821978226419
mu	0.0238186623578916	0.0178863546042181	0.995149676118656
sigma2	0.11192082394871	0.084278363349565	0.995149676118656
