xi	omega	alpha	nu
t_n31	36.9909837880301	5.16750919585809	2.13082374208847	1000
t_n32	25.1499548659289	4.42168597462291	2.04273085002598	1000
t_n33	21.6722075395679	2.87826063767682	1.53230370709771	1000
t_n34	18.8634808888726	2.45679560826977	1.03260626922769	1000
t_n35	12.3350252682703	2.62903393078752	1.18569347595092	1000
t_n36	15.8968616132178	2.1147286100829	0.158624728847478	1000
t_n37	20.0202929623295	2.44816975206417	-0.376891772852559	1000
t_n38	34.141004887246	3.67769081583152	1.61622976630747	1000
t_n39	18.2267036717458	3.89762291895194	1.82988623312405	1000
t_n40	13.0365272180559	2.81063473072592	1.19288017621784	1000
t_n41	11.0467063474194	2.57091111822808	1.69150734958413	1000
t_n42	7.2138968151109	1.78495856090346	1.35587368651521	1000
t_n43	31.8163901559056	2.96159025463781	1.32708806524289	1000
t_n44	30.0181811184072	2.42113286932392	1.04019927531717	1000
t_n45	23.5747012177599	3.13460903451498	1.10555925180697	1000
t_n46	19.8879102473488	2.7148498686852	1.08477365581327	1000
t_n47	9.62920530675211	2.14747672019786	1.88113052531455	1000
t_n48	7.79327986416622	1.56233908186619	1.04777889171846	1000
t_n49	16.954833723732	2.27039921426068	0.526732061390015	1000
t_n50	14.5515926747033	3.36085656077059	1.33085398874766	1000
t_n51	27.9905660945447	2.3618501340177	0.928277293019426	1000
t_n52	26.2001566563287	2.19506820001475	0.392321768200156	1000
t_n53	24.5127899155626	2.72004663562079	-0.665059902924757	1000
t_n54	13.4800960149733	3.08776808664642	1.32025511856188	1000
t_n55	16.568653601194	3.1663475274404	1.76524272876449	1000
t_n56	6.65042143202406	1.91070932442939	1.69735111575172	1000
t_n57	13.4208476420916	2.24770929948097	1.35276649007293	1000
t_n58	11.0556756417638	1.87102028919693	0.792155342318479	1000
t_n59	25.6166007340718	3.3900575021103	-0.877790030572807	1000
mu	0.000123391132392394	0.0228752927406898	1659.04102716983	1000
sigma2	0.000564978641885706	0.0925028585612277	1402.01979833321	1000
