Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
1	38.3504345	26.7776108	21.7894018	20.0282226	12.6425183	14.9229712	20.7594853	35.2331492	21.6958582	15.4035827	12.2734687	7.7431131	32.3902242	30.5791320	23.2286249	21.2181221	9.8606164	8.4610566	19.0446468	15.0971682	27.7324863	27.2966681	25.4485682	15.5047103	15.6921900	6.9233145	13.0483948	12.4182743	23.3408407	0.0159408	0.0139425	-28.179
5	36.9214859	26.1652002	21.7894018	19.6024093	12.6425183	15.9455910	19.6389781	35.3878375	19.8950072	16.7698512	13.2684732	9.5605509	31.3396775	30.2760312	23.5992612	21.2181221	10.3757420	9.8989522	19.0446468	17.2605695	28.8551538	28.5960696	24.9442336	15.5047103	17.4184874	7.9224902	14.1056900	11.1994262	21.2976467	0.0158216	0.0099027	-29.277
10	35.6587006	25.1671823	21.3918642	19.6024093	15.3868008	13.7091412	20.5331385	35.3824419	22.0923113	17.8386341	14.6314633	8.8077845	31.1622170	30.2760312	23.2522954	20.1512179	10.0597876	8.8540107	18.7402159	15.1140256	28.8427696	28.5960696	24.9442336	12.8006333	17.1047448	7.9224902	14.1056900	12.7395509	24.1566872	0.0159489	0.0152700	-33.698
15	37.5702977	26.4508543	22.4952825	20.4661624	15.0934579	14.9064043	20.0423066	36.1857126	22.0923113	18.0225396	13.7391483	8.3247357	31.7946194	30.5971451	22.7730033	20.1512179	11.6573348	10.0306253	17.3043383	15.1140256	28.8427696	28.4071005	24.7717642	12.6744653	16.8359792	8.7463237	14.6640357	13.5845224	24.1566872	0.0159489	0.0194269	-21.196
20	37.5769044	26.4508543	21.7125563	19.5318811	15.0934579	15.0066776	20.5058863	36.4924866	20.5554443	15.2410363	12.6626086	7.9345656	31.3268428	30.1397321	22.6458789	20.1512179	10.9855292	9.0554497	17.3043383	15.6418961	28.6865510	28.2579302	22.7829197	12.9863047	18.0741523	8.7463237	13.7846547	12.6340090	23.6291821	0.0156464	0.0131379	-20.083
25	37.7151628	26.6260608	21.9891019	20.4288210	14.7364489	15.9061870	20.6308123	37.1061334	20.9456498	14.5101075	12.4779310	7.9345656	33.4741046	30.6112008	25.1784350	21.6162495	10.9855292	9.1184213	18.9308551	17.5029649	27.9209845	26.5467162	24.4590192	14.2514466	19.1509666	7.7313707	13.7846547	13.0795300	23.6291821	0.0155358	0.0118371	-28.430
30	37.5026185	26.6260608	22.9262365	20.2212060	13.8640496	16.5612881	21.2327519	36.0073995	20.9456498	15.6944990	12.6498025	8.4783209	31.4540545	30.8531712	23.5489082	21.6162495	10.9855292	9.7412974	18.9308551	15.9642754	29.9089459	29.4678419	23.5184671	14.8508500	17.1943860	7.7313707	14.2035124	11.6384316	25.7608820	0.0148988	0.0102335	-25.728
35	38.0607850	30.1113705	22.9262365	19.9561699	13.4119054	16.6767199	20.7337848	34.5023960	20.9456498	15.6944990	14.0089968	8.4783209	32.1137135	31.3212987	23.5489082	21.6162495	10.2522932	8.7721321	16.9294671	15.4539101	30.1853469	28.2325726	24.2780414	13.1554909	18.0779296	7.7313707	14.2035124	12.4189153	25.7608820	0.0153508	0.0138079	-21.703
40	38.6962399	27.5403279	21.9639491	21.0808445	13.4119054	17.8724965	19.8549964	37.0976875	20.9456498	14.4396336	13.8470645	9.7283149	34.3631201	31.8941869	23.9187289	20.3778181	10.2522932	8.7721321	18.1706710	15.4413563	30.1853469	29.2396824	25.3354287	13.7184448	17.3562556	7.8932236	13.3468001	10.6900173	22.8493135	0.0153508	0.0180854	-24.536
45	37.3903002	26.2336335	22.5183802	20.6101854	13.4119054	17.4119496	21.5387379	35.8078716	20.3659831	15.2921993	12.7065374	8.4309548	32.3510701	31.3189406	24.5650644	21.4382130	10.2522932	9.0398908	18.1706710	16.1153225	30.0178512	28.9955820	25.3354287	14.6433807	16.1811384	8.1869272	12.2991101	10.1694911	24.6319427	0.0157546	0.0180854	-16.839
50	37.9361496	26.2336335	22.1823804	20.6101854	13.5013443	16.3765891	20.1862356	35.8078716	21.5533759	13.1894845	12.7065374	8.4309548	32.3510701	30.7378206	25.1179017	22.0030218	10.9406901	9.0398908	18.1706710	16.6739577	27.9655115	26.5936533	22.4560442	14.6433807	16.5807255	8.1869272	12.2991101	11.6717173	24.9588376	0.0152125	0.0180854	-33.552
55	37.9361496	27.1277506	22.6608174	20.6101854	13.8993762	16.3343967	20.2369733	37.0560151	21.1254853	13.1939548	13.0382354	7.6325596	32.5081760	31.4264337	24.4389536	21.5974257	9.9982816	8.0787882	18.1706710	17.7746175	29.0959077	28.4048622	25.3319018	16.1947774	16.9141096	7.7099528	14.1708941	12.9401834	23.6760676	0.0156037	0.0178152	-21.902
60	39.7673522	29.2224515	22.6214023	20.4071027	14.0593281	15.0070138	20.6455039	35.2186995	20.1448434	13.6768101	12.1332253	8.1832255	32.4751091	31.4264337	24.4389536	21.2613408	10.4602302	8.9044132	18.2238242	17.7746175	30.1044514	29.2169127	23.6356858	14.6879364	17.0818364	7.7099528	14.1708941	12.9401834	23.5412670	0.0151540	0.0178152	-22.351
65	37.9042492	26.7358155	21.0850322	19.1886597	12.6940262	16.6091511	20.6587463	35.5851839	20.1448434	14.4866217	10.8611810	8.1832255	32.5084604	31.4264337	24.0292990	21.2613408	13.2434506	10.0888346	19.7161365	17.7746175	29.6386147	28.6969790	24.4276793	13.8173726	17.0433225	7.8350445	13.9741063	12.9979603	25.0469834	0.0145841	0.0178152	-29.528
70	37.9042492	25.1554384	22.0513804	19.2960535	12.1103944	16.5514571	20.6587463	36.7039792	22.5310666	15.6757689	13.8606347	8.7516149	32.7197225	31.3510502	24.1812713	21.0855119	10.3647898	8.7030301	19.7154153	16.4777658	29.9473819	29.3160804	25.3704861	13.8173726	19.1680197	7.8350445	14.7263074	13.1835136	26.0428373	0.0154655	0.0135079	-19.005
75	37.1034664	26.8458164	21.4317832	19.2432659	14.0721453	16.5514571	19.4104828	34.7319061	20.6142977	16.8917218	13.5102755	8.7516149	32.2918067	31.4293583	24.8660090	21.0855119	10.5808080	9.7638635	18.1614136	17.2804891	29.9294345	29.1212507	23.8476865	13.3619282	18.7103730	6.9250794	15.2744850	14.0392989	25.2664624	0.0161176	0.0135079	-28.510
80	39.6221148	28.8354619	22.2484082	18.9348343	12.7444846	14.9862415	20.3623503	34.7319061	20.6142977	15.8041714	13.0278661	9.5100156	31.6837016	30.8154038	23.7014526	21.0855119	9.7596318	8.1473720	18.9342115	14.8267219	29.8500301	28.1615305	23.6614462	14.1309532	18.1684491	8.9761480	14.1970662	13.2679007	24.4558235	0.0158863	0.0135079	-30.760
85	37.6794551	27.0417231	21.3768521	19.4202029	12.7444846	15.6434756	20.3623503	36.6967332	20.6142977	14.6501539	12.2697215	7.4103110	31.5118447	30.8154038	23.3802386	20.3858971	10.0100057	8.1473720	18.9342115	15.7308979	28.8004340	27.8592959	23.6614462	14.1309532	17.2150349	7.4261467	14.2051168	11.7163647	23.3563172	0.0158863	0.0205724	-21.349
